Wizard Spells Revised   10/10/94
	1st Level Spells	1st level

	Phantom Steed
FR6	Preservation
FOR3	Preserve Wood
Drag200 Proficiency
FRA	Proof from Teleportation
FR6	Protection from All Lycanthropes-10╒ Radius
FR6	Protection from Electricity-10╒ Radius
	Protection from Evil, 10╒ Radius
FR6	Protection from Illusions
	Protection from Good, 10╒ Radius
FR6	Protection from Magical Weapons
	Protection from Normal Missiles
FR6	Protection from Paralyzation
FR6	Protection from Specific Elementals-10╒ Radius
FR6	Protection from Specific Undead-10╒ Radius
FR6	Protection from Water
Drag197	Ranike Cloud
Drag	Remove Shell
FRA	Revenance
Drag197	Reverse Fossilization
FR16	Scintillating Sphere
OA	Scry
	Secret Page
	Sepia Snake Sigil
Drag	Shadowbolt
Drag167	Skulltrap
FRA	Skullwatch
	Slow
WHB	Snapping Teeth
	Spectral Force
	Spirit Armor
TOM	Squaring the Circle
OA	Statue
OA	Steam Breath
Drag197	Stoneiron
	Suggestion
FRCS1	Tasirin╒s  Haunted Sleep
GHA	Tenser╒s Deadly Strike
GHA	Tenser╒s Eye of the Eagle
	Tongues
	Vampiric Touch
Drag204	Wall of Paper
FRA	Ward Against Undead
	Watery Breathing
	Watery Double
FOR3	Watery Form
FOR3	Watery Servant
FRA	Waves of Weariness
	Wind Wall
Drag188 Whip of Pain
	Wizard Sight
OA	Wood Shape
	Wraithform

            4th Level Spells	7th Level

Drag200 Acid Bolts
FOR2	Acid Bolt
FRCS1	Archeveult╒s Skybolt
FOR2	Backlash
FOR3	Ball Lightning
Drag200 Bands of Ice
OA	Bargain
FRA	Belytn╒s Burning Blood
	Bestow Curse
GHA	Bigby╒s Battering Gauntlet
GHA	Bigby╒s Construction Crew
GHA	Bigby╒s Force Sculpture
CSBS	Blacksphere
FRA	Caligarde╒s Claw
	Charm Monster
AQAA	Conjure Sand Lion
MC(UM)	Control Death Tyrant
	Confusion
	Contagion
MC 3	Create Darkenbeast
OA	Dancing Blade
CSBS	Delayed Magic Missile
	Detect Scrying
	Dig
TOM	Dilation 1
	Dimension Door
Dung32	Disguise
OA	Dispel Illusion
TOM	Divination Enhancement
OA	Dream Vision
GHA	Drawmij╒s Handy Timepiece
GHA	Drawmij╒s Instant Exit
GHA	Drawmij╒s Protection from Non-magical Gas
GHA	Drawmij╒s Toolbox
CSBS	Duhlark╒s Long Reach
WHB        Duplicate
OA	Elemental Turning
	Emotion
	Enchanted Weapon
FRA	Encrypt
	Enervation
AQAA	Enhance Fire Creature
	Evard╒s Black Tentacles
	Extension 1
TOM	Far Reaching 2
EOE	Fatigue
	Fear
	Fire Charm
OA	Fire Enchantment
FRA	Fire Gate
FR6	Fire Lance
	Fire Shield
	Fire Trap
Drag	Fistandantilus╒ Firequench
FRCS1	Flame Shroud
	Fumble
SCZ	Gandalf╒s Mana Blast (BM)
Drag	Geirdorn╒s Grappling Grasp
VGN	Ghelkyn╒s Wounding
AQAA	Ghost Rigging
TOM	Greater Malison
FRCS1	Hailcone
	Hallucinatory Terrain
WHB	Halo of Eyes
	Ice Storm
	Illusionary Wall
	Improved Invisibility
Drag	Laeral╒s Aqueous Column
Drag	Lapse
	Leomund╒s Secure Shelter
Drag185 Lesser Spelldream
CSBS	Life Bolt
CSBS	Life Field
Drag203	Lightning Shield
FRA	Llyykur╒s Mantle
TOM	Locate Creature
	Magic Mirror
TOM	Mask of Death
	Massmorph
OA	Melt Metal
FRCS1	Merald╒s Murderous Mist
	Minor Creation
	Minor Globe of Invulnerability
TOM	Minor Spell Turning
AQAA	Mirage Wall
	Monster Summoning 3
TOM	Mordenkainen╒s Celerity
GHA	Mordenkainen╒s Electric Arc
GHA	Mordenkainen╒s Faithful Phantom Shield 			Maidens
GHA	Mordenkainen╒s Protection from Slime
GHA	Nystul╒s Blacklight Burst
GHA	Nystul╒s Grue Conjuration
GHA	Nystul╒s Lightburst
WHB	Otiluke╒s Dispelling Screen
	Otiluke╒s Resilient Sphere
GHA	Otiluke╒s Steaming Sphere
GHA	Otto╒s Drum╒s of Despair
GHA	Otto╒s Silver Tongue
GHA	Otto╒s Tonal Attack
GHA	Otto╒s Tin Soldiers
GHA	Otto╒s Warding Tones
	Phantasmal Killer
FRA	Phase Trap
	Plant Growth
FRA	Plaque
	Polymorph Other
	Polymorph Self
FR6	Protection from All Elementals-10╒ Radius
FR6	Protection from All Undead-10╒ Radius
FR6	Protection from Breath Weapons-Dragon
FR6	Protection from Breath Weapons-Non-Dragon
FR6	Protection from Cold-15╒ Radius
FR6	Protection from Fire-15╒ Radius
FR6	Protection from Gas-5╒ Radius
FR6	Protection from Mechanical Traps
FR6	Protection from Petrification-10╒ Radius
FR6	Protection from Possession-10╒ Radius
FR6	Protection from Shapechangers-10╒ Radius
DSCS	Psionic Dampener
OA	Quell
	Rainbow Pattern
FR16	Ramael╒s Cyclical Light
GHA	Rary╒s Memory Alteration
GHA	Rary╒s Mind Scan
	Rary╒s Mnemonic Enhancer
GHA	Rary╒s Spell Enhancer
DSCS	Raze
	Remove Curse
OA	Reverse Flow
AQAA	Sandcone
FOR3	Sargossa
Drag	Shadow Monsters
Drag	Shadow Skeleton
AQAA	Shatterhull
	Shout
	Solid Fog
SPJR	Spark Burst
DSDK	Spider Strand
OA	Spectral Force
FRA	Spectral Wings
FRA	Spendelard╒s Chaser
	Stoneskin
FOR2	Stop
AQAA	Strengthen Water Creature
TOM	Summon Lycanthrope
EOE	Sunbolt
AQAA	Sunfire
AQAA	Sunwarp
GHA	Tenser╒s Flaming Blade
GHA	Tenser╒s Giant Strength
GHA	Tenser╒s Master of Arms
GHA	Tenser╒s Running Warrior
GHA	Tenser╒s Staff of Smiting
TOM	There/ Not There (WM)
FRA	Thunderlance
TOM	Thunder Staff
OA	Transfix
DSCS	Transmute Sand to Stone
FR6	Tulrun╒s Tracer
TOM	Turn Boulder to Pebble
FR6	Turn Magic
TOM	Turn Pebble to Boulder
TOM	Unluck (WM)
	Vacancy
OA	Vengeance
OA	Wall of Bones
	Wall of Fire
	Wall of Ice
FRA	Wall of Sand
FRA	Watchware
AQAA	Wind Blade
WHB	Wind Breath
	Wizard Eye
Drag197	Woodiron

            5th Level Spells	9th Level

OA	Aiming at the Target
WGR2	Andrui╒s Baneful Backfire
Drag	Anesthesia
	Animate Dead
	Animal Growth
	Advanced Illusion
	Airy Water
	Attraction
	Avoidance
GHA	Bigby╒s Fantastic Fencer
	Bigby╒s Interposing Hand
GHA	Bigby╒s Superior Force Sculpture
GHA	Bigby╒s Strangling Grip
FRA	Bowgentle╒s Fleeting Journey
FOR3	Calm Water
FOR3	Calm Wind
	Chaos
	Cloudkill
EHB	Conduit
	Cone of Cold
	Conjure Elemental
	Contact Other Plane
SPJR	Create Portal
OA	Creeping Darkness
FR16	Darsson╒s Music Box
AQAA	Death Smoke
	Demi-Shadow Monsters
AQAA	Desert Fist
EOE	Discord
FRA	Disguise Undead
	Dismissal
	Distance Distortion
	Domination
GHA	Drawmij╒s Flying Feat
	Dream
DLA	Ebony Tendrils
SPJR	Enhance Maneuverability
Drag197	Erdlu Egg 
	Extension 2
	Fabricate
TOM	Far Reaching 3
	Feeblemind
Drag164	Fell Blade
OA	Fire Breath
FR6	Fire Stones
AQAA	Fire Track
AQAA	Flesh Mirage
SJR1	Flyfield
WHB	Force Shapechange
UMA	Halaster╒s Grappling Grasp
Drag197	Heart Call
	Hold Monster
FRA	Improved Skullwatch
WHB	Invulnerability to Normal Weapons
FRA	Ironguard
OA	Ironwood
Drag	Jhanifer╒s Deliquescence
Drag197	Kank Shell
TOM	Khazid╒s Procurement
WHB	Know Value
	Leomund╒s Lamentable Belaborment
	Leomund╒s Secret Chest
Drag200 Lightning Curtain
TOM	Lower Resistance
	Magic Jar 
TOM	Magic Staff
	Major Creation
Drag188 Manshoon╒s Xorn Talons
OA	Mass
EOE	Maximum Damage
Drag164	Melisander╒s Harp
OA	Metal Skin
	Mind Fog
	Monster Summoning 4
	Mordenkainen╒s Faithful Hound
GHA	Mordenkainen╒s Faithful Phantom Defender╒s 
Drag200 Mordenkainen╒s Involuntary Wizardry
WHB	Mordenkainen╒s Private Sanctum
GHA	Mordenkainen╒s Private Sanctum
Drag	Morgannaver╒s Sting
AQAA	Move Dune
WHB	Mummy Rot
	Nightmare
FRA	Nulathoe╒s Ninemen
GHA	Nystul╒s Enveloping Darkness
GHA	Nystul╒s Radiant Arch
GHA	Otiluke╒s Dispelling Screen
GHA	Otiluke╒s Electrical Screen
GHA	Otiluke╒s Polar Screen
GHA	Otiluke╒s Radiant Screen
GHA	Otto╒s Gong of Isolation
	Passwall
FOR2	Passweb
Drag204	Power Word, Kill Rodents
FRA	Presper╒s Moonbeam
FR6	Protection from Acid
FR6	Protection from Magical Traps-5╒ Radius
SCZ 	Purge (BM)
FR16	Rapid Reflexive Response
GHA	Rary╒s Mind Shield
GHA	Rary╒s Replay of the Past
GHA	Rary╒s Superior Spell Enhancer
GHA	Rary╒s Telepathic Bond
WHB	Rary╒s Telepathic Bond
DSCS	Rejuvenate
TOM	Safeguarding
FRA	Secure
	Seeming
	Sending
OA	Servant Horde
	Shadow Door
Drag	Shadow Hand
	Shadow Magic
AQAA	Shield of Winds
AQAA	Shipshock
	Shrink Animal
FRA	Shroud of Flame
FRA	Snilloc╒s Major Missile
FR6	Spell Immunity
OA	Spirit Self
	Stone Shape
	Summon Shadow
OA	Sword of Deception
	Telekinesis
	Teleport
GHA	Tenser╒s Primal Fury
KTBS	Thornbrush Arrows
WHB	Throbbing Bones
Drag	Thultan╒s Thrust
DLA	Timeheal
	Transmute Mud to Rock
	Transmute Rock to Mud
TOM	Von Gasik╒s Refusal
TOM	Vortex (WM)
WHB	Wall of Bones
	Wall of Force
	Wall of Iron
	Wall of Stone
AQAA	Water Blast
OA	Water to Poison
TOM	Waveform (WM)
AQAA	Wind Carpet
OA	Wood Rot

                  6th Level Spells	12th Level

FR6	Animate Dead Monsters
FR6	Animate Dread Warrior of Tam
EOE	Anti-Magic Aura
	Anti-Magic Shell
TOM	Augmentation 2
OA	Aura
Drag	Barrier Reaver
GHA	Bigby╒s Besieging Bolt
	Bigby╒s Forceful Hand
WHB	Blackmantle
FRA	Blade of Doom
TOM	Bloodstone╒s Spectral Steed
Drag200 Bonebind
	Chain Lightning
TOM	Claws of the Umber Hulk
DLA	Command Earth
AQAA	Command Water Spirits
	Conjure Animals
EOE	Construction
                  Contingency
                  Control Weather
OA	Control Weather
FR6	Control Winds
SPJR	Create Minor Helm	
WHB	Deadman╒s Eyes
 	Death Fog
	Death Spell
                  Demi-Shadow Magic
TOM	Dilation 2
SJR1	Disable Helm
DLA	Disc of Concordant Opposition
	Disintegrate	
WHB	Dragon╒s Scales
GHA	Drawmij╒s Beneficent Polymorph
GHA	Drawmij╒s Merciful Metamorphosis
CSBS	Durlark╒s Animerge
CSBS	Durlark╒s Glasstrike
	Enchant an Item
UMA	Energy Transformation
DLA	Enmeshment
	Ensnarement
	Extension 3
	Eyebite
AQAA	Flameproof
AQAA	Flame of Justice
	Flesh to Stone
TOM	Forest╒s Fiery Constrictor
OA	Gambler╒s Luck
	Geas
	Glassee
	Globe of Invulnerability
Drag185 Greater Spelldream
FRA	Grimwald╒s Greymantle
	Guards and Wards
FRA	Imbue Undead with Spell Ability
L&L	Impersonation
DSDK	Improved Haste
DSDK	Improved Slow
	Invisible Stalker
WHB	Invulnerability to Magical Weapons
Drag197	Isolate Templar	
	Legend Lore
FRA	Lich Touch
Drag200 Lightningcloak
TOM	Lorloveim╒s Shadowy Transformation
	Lower Water
	Mass Suggestion
OA	Metal to Rust
	Mirage Arcana
	Mislead
	Monster Summoning 5
GHA	Mordenkainen╒s Faithful Phantom Guardian
	Mordenkainen╒s Lucubration
	Move Earth
FOR3	Oars to Snakes
GHA	Otiluke╒s Diamond Screen
GHA	Otiluke╒s Excruciating Screen
GHA	Otiluke╒s Fire and Ice
	Otiluke╒s Freezing Sphere
GHA	Otiluke╒s Orb of Containment
OA	Pain
AQAA	Part Sand
	Part Water
	Permanent Illusion
FRA	Power Word: Silence
	Programmed Illusion
	Project Image
FR6	Protection from Any Traps-5╒ Radius
FR6	Protection From Magic-5╒ Radius
	Raise Water
GHA	Rary╒s Protection from Scrying
GHA	Rary╒s Urgent Utterance
FRA	Reconstruction
	Reincarnation
	Repulsion
L&L	Revelation
FR16	Ring of Disintegration
AQAA	Sand Shroud
Drag	Seizure
	Shades
Drag	Shadow Gauntlet
AQAA	Ship of Fools
OA	Speak with DeadOA 	Spiritwrack
Drag203	Static Field
	Stone to Flesh
FOR2	Summon Spider
AQAA	Summon Wind Dragons
FR16	Suspension
OA	Sword of Darkness
FRA	Teleport Dead
GHA	Tenser╒s Fortunes of War
	Tenser╒s Transformation
WHB	Tentacles
	Transmute Dust to Water
	Transmute Water to Dust
	True Seeing
OA	True Sight
FRA	Turnshadow
	Veil
OA	Vessel
OA	Warp Stone
TOM	Wildshield (WM)
TOM	Wildstrike (WM)

                 7th Level Spells	14th Level

TOM	Acid Storm
	Banishment
Drag200 Bloodstars
TOM	Bloodstone╒s Frightful Joining
	Bigby╒s Grasping Hand
OA	Body outside of Body
Drag164	Bone Javelin
	Charm Plants
Drag	Chromatic Blade
OA	Commune with Greater Spirit
DSDK	Conjure Greater Elemental
	Control Undead
SPJR	Create Major Helm
AQAA	Create Shade
AQAA	Create Soundstaff
UMA	Curse of forgetfulness, The
	Delayed Blast Fireball
DSCS	Doom Legion
Drag	Dragon Breath
	Drawmij╒s Instant Summons
	Duo-Dimension
Drag203	Electric Bow
OA	Elemental Servant
EOE	Faerie Sword
FR6	Find the Path
	Finger of Death
	Forcecage
	Foresight
	Freedom
FRA	Gemjump
EOE	Gullship
TOM	Hatch the Stone from the Egg
TOM	Hornung╒s Surge Selector (WM)
OA	Ice Blight
TOM	Intensify Summoning
FRA	Khelben╒s Warding Whip
AQAA	Lifeproof
	Limited Wish
TOM	Malec-Keth╒s Flame Fist
	Mass Invisibility
DLA	Mindspin
	Monster Summoning 6
	Mordenkainen╒s Magnificent Mansion
GHA	Mordenkainen╒s Penultimate Cogitation
	Mordenkainen╒s Sword
Drag164	Negative Plane Protection
FR16	Nerve Dance
OA	Obedience
GHA	Otiluke╒s Death Screen
GHA	Otiluke╒s Fire and Ice
GHA	Otiluke╒s Siege Sphere
	Phase Door
	Power Word Stun
TME         Prismal╒s Reversal
	Prismatic Spray
GHA	Rary╒s Plane Truth
OA	Reanimation
Drag164	Repel Undead
	Reverse Gravity
FRA	Ruby╒s Ray of Reversal
DSDK	Sands of Time
	Sequester
DSDK	Semipermanency
TOM	Shadowcat
	Shadow Walk
FRA	Simbul╒s Synostodweomer, The
	Simulacrum
FRA	Spectral Guard
TOM	Spell Shape (WM)
FRA	Spelltrap
	Spell Turning
EOE	Sprites
	Statue
TOM	Steal Enchantment
FRCS1	Steal Spell
FR6	Stone Tell
TOM	Suffocate
AQAA	Sun Stone
Drag204	Teleport Without Awareness
	Teleport Without Error
OA	Tool
Drag167	Transmute Bone to Steel
	Vanish
FOR2	Vipergout
	Vision
VGN	Wardmist
AQAA	Water Form
FOR3	Whirlpool
TOM	Wildzone (WM)
OA	Withering Palm
WHB	Zombie Double

	8th Level Spells	16th Level

TOM	Abi-Dalzim╒s Horrid Wilting
TOM	Airboat
	Antipathy-Sympathy
	Bigby╒s Clenched Fist
GHA	Bigby╒s Most Excellent Force Sculpture
	Binding
Drag	Blackstaff
FRCS1	Body Sympathy
Drag164	Bone Blade
OA	Call
AQAA	Cleanse Water
	Clone
OA	Cloud Trapeze
SJR1	Collapse Atmosphere
SJR1	Create Atmosphere
MC	Create Death Tyrant (18+ Int)
DSCS	Create Tree of Life
FRA	Death Link
Drag200 Deathshroud
FOR2	Death Spider
WHB	Defoliate
	Demand
SJR1	Destroy Minor Helm
L&L	Enhance
WHB	Fear Wand
OA	Finding the Center
FR6	Fire Storm
FRA	Gateway
OA	Giant Size
	Glassteel
FRA	Great Shout
TOM	Gunther╒s Kaleidoscopic Strike
TOM	Homonculus Shield
TOM	Hornung╒s Random Dispatcher (WM)
	Incendiary Cloud
Drag200 Lightning Storm
	Mass Charm
	Maze
	Mind Blank
	Monster Summoning 7
	Otiluke╒s Telekinetic Sphere
	Otto╒s Irresistible Dance
	Permanency
	Polymorph Any Object
	Power Word Blind
	Prismatic Wall
DSDK	Protection from Time
FR6	Regenerate
AQAA	River of Sand
AQAA	Sand Worm
	Screen
	Serten╒s Spell Immunity
WHB	Shadow Form
	Sink
FRA	Spell Engine
Drag203	Storm
OA	Summoning Wind
FRA	Sunburst
OA	Surelife
	Symbol
UMA	Symbol: of Spell Loss
	Trap the Soul
Drag167	Undead Servants
AQAA	Unleash Monolith
OA	Whirlwind
TOM	Wildzone (WM)
KTBS	Year Stealing

	8th Level High Magic

EOE	Call of Despair
EOE	Dragonrage
EOE	Leviathan
EOE	Nymph╒s Aura
EOE	Song of Battle
 




         	 9th Level Spells	18th Level

Drag200 Alamanther╒s Return
	Astral Spell
	Bigby╒s Crushing Hand
FOR2	Black Blade of Disaster
TOM	Chain Contingency
AQAA	Conflagration
	Crystalbrittle
SJR1	Destroy Major Helm
Drag164	Disruption
FRA	Dismind
VGN	DragonShape
TOM	Elemental Aura
FRA	Elminster╒s Effulgent Epuration
FRA	Elminster╒s Evasion
	Energy Drain
TOM	Estate Transference
	Freedom
	Gate
TOM	Glorious Transformation
Drag164	Immunity to Undeath
	Imprisonment
OA	Instant Regeneration
OA	Internal Fire
CSBS	Khelben╒s Dweomerdoom
DLA	Kiss of Night╒s Guardian
CSBS	Laeral╒s Crowning Touch
